Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
27in FHD Monitor,1,149.99,2021-06-13,"560 10th St, Seattle, WA 98101",Monitores
Apple Airpods Headphones,1,150.0,2021-06-24,"350 9th St, New York City, NY 10001",Auriculares
27in FHD Monitor,1,149.99,2021-06-10,"625 Ridge St, Los Angeles, CA 90001",Monitores
Flatscreen TV,1,300.0,2021-06-20,"858 8th St, Boston, MA 02215",Televisores
AA Batteries (4-pack),1,3.84,2021-06-15,"932 Lakeview St, San Francisco, CA 94016",Pilas
AAA Batteries (4-pack),1,2.99,2021-06-21,"387 Dogwood St, Boston, MA 02215",Pilas
AAA Batteries (4-pack),1,2.99,2021-06-17,"530 Cedar St, Boston, MA 02215",Pilas
34in Ultrawide Monitor,1,379.99,2021-06-23,"769 Dogwood St, Dallas, TX 75001",Monitores
iPhone,1,700.0,2021-06-23,"766 Meadow St, Seattle, WA 98101",Teléfonos
Wired Headphones,1,11.99,2021-06-23,"766 Meadow St, Seattle, WA 98101",Auriculares
Google Phone,1,600.0,2021-06-16,"313 South St, San Francisco, CA 94016",Teléfonos
27in 4K Gaming Monitor,1,389.99,2021-06-27,"874 Wilson St, Austin, TX 73301",Monitores
27in FHD Monitor,1,149.99,2021-06-10,"916 Lake St, Austin, TX 73301",Monitores
Apple Airpods Headphones,1,150.0,2021-06-14,"7 Lakeview St, San Francisco, CA 94016",Auriculares
Macbook Pro Laptop,1,1700.0,2021-06-17,"101 Spruce St, Atlanta, GA 30301",Portátiles
Wired Headphones,2,11.99,2021-06-09,"689 Walnut St, Los Angeles, CA 90001",Auriculares
Google Phone,1,600.0,2021-06-24,"753 6th St, Dallas, TX 75001",Teléfonos
iPhone,1,700.0,2021-06-24,"599 2nd St, San Francisco, CA 94016",Teléfonos
AA Batteries (4-pack),1,3.84,2021-06-23,"549 2nd St, Atlanta, GA 30301",Pilas
AA Batteries (4-pack),1,3.84,2021-06-21,"545 Dogwood St, Los Angeles, CA 90001",Pilas
Wired Headphones,1,11.99,2021-06-14,"326 Hickory St, Los Angeles, CA 90001",Auriculares
USB-C Charging Cable,1,11.95,2021-06-09,"88 River St, Atlanta, GA 30301",Cargadores
USB-C Charging Cable,1,11.95,2021-06-30,"333 Sunset St, Dallas, TX 75001",Cargadores
AA Batteries (4-pack),1,3.84,2021-06-30,"333 Sunset St, Dallas, TX 75001",Pilas
iPhone,1,700.0,2021-06-09,"482 South St, Austin, TX 73301",Teléfonos
Lightning Charging Cable,1,14.95,2021-06-09,"482 South St, Austin, TX 73301",Cargadores
Lightning Charging Cable,1,14.95,2021-06-21,"551 Hill St, Boston, MA 02215",Cargadores
USB-C Charging Cable,2,11.95,2021-06-19,"822 8th St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2021-06-28,"743 Adams St, New York City, NY 10001",Cargadores
AA Batteries (4-pack),2,3.84,2021-06-29,"584 Chestnut St, San Francisco, CA 94016",Pilas
Apple Airpods Headphones,1,150.0,2021-06-29,"133 Sunset St, Los Angeles, CA 90001",Auriculares
AAA Batteries (4-pack),1,2.99,2021-06-16,"181 Meadow St, Seattle, WA 98101",Pilas
AA Batteries (4-pack),1,3.84,2021-06-30,"440 Maple St, Dallas, TX 75001",Pilas
Wired Headphones,1,11.99,2021-06-22,"690 11th St, New York City, NY 10001",Auriculares
Bose SoundSport Headphones,1,99.99,2021-06-14,"658 Highland St, Austin, TX 73301",Auriculares
USB-C Charging Cable,1,11.95,2021-06-19,"555 9th St, New York City, NY 10001",Cargadores
AA Batteries (4-pack),3,3.84,2021-06-13,"152 Johnson St, New York City, NY 10001",Pilas
AA Batteries (4-pack),1,3.84,2021-06-09,"96 14th St, Los Angeles, CA 90001",Pilas
Lightning Charging Cable,1,14.95,2021-06-13,"57 1st St, Los Angeles, CA 90001",Cargadores
iPhone,1,700.0,2021-06-13,"898 14th St, Los Angeles, CA 90001",Teléfonos
27in 4K Gaming Monitor,1,389.99,2021-06-25,"315 Forest St, New York City, NY 10001",Monitores
Macbook Pro Laptop,1,1700.0,2021-06-30,"702 Center St, Seattle, WA 98101",Portátiles
USB-C Charging Cable,1,11.95,2021-06-11,"36 7th St, Seattle, WA 98101",Cargadores
Apple Airpods Headphones,1,150.0,2021-06-13,"54 12th St, Portland, OR 97035",Auriculares
AAA Batteries (4-pack),3,2.99,2021-06-11,"76 River St, Los Angeles, CA 90001",Pilas
iPhone,1,700.0,2021-06-27,"285 8th St, Los Angeles, CA 90001",Teléfonos
Google Phone,1,600.0,2021-06-24,"557 Wilson St, Austin, TX 73301",Teléfonos
AAA Batteries (4-pack),1,2.99,2021-06-10,"835 Chestnut St, Boston, MA 02215",Pilas
Apple Airpods Headphones,1,150.0,2021-06-29,"207 13th St, Boston, MA 02215",Auriculares
USB-C Charging Cable,1,11.95,2021-06-12,"810 Meadow St, Dallas, TX 75001",Cargadores
27in 4K Gaming Monitor,1,389.99,2021-06-21,"890 Washington St, Austin, TX 73301",Monitores
Google Phone,1,600.0,2021-06-21,"965 Johnson St, Austin, TX 73301",Teléfonos
AA Batteries (4-pack),1,3.84,2021-06-27,"594 Lake St, New York City, NY 10001",Pilas
Bose SoundSport Headphones,1,99.99,2021-06-25,"988 Madison St, San Francisco, CA 94016",Auriculares
Bose SoundSport Headphones,1,99.99,2021-06-24,"949 10th St, Dallas, TX 75001",Auriculares
iPhone,1,700.0,2021-06-14,"534 Park St, Los Angeles, CA 90001",Teléfonos
AA Batteries (4-pack),1,3.84,2021-06-30,"171 Madison St, Portland, OR 97035",Pilas
AAA Batteries (4-pack),1,2.99,2021-06-20,"532 Willow St, Atlanta, GA 30301",Pilas
Lightning Charging Cable,1,14.95,2021-06-29,"186 14th St, Boston, MA 02215",Cargadores
27in FHD Monitor,1,149.99,2021-06-27,"433 14th St, Portland, OR 97035",Monitores
USB-C Charging Cable,1,11.95,2021-06-09,"469 Pine St, Austin, TX 73301",Cargadores
AA Batteries (4-pack),1,3.84,2021-06-21,"615 Forest St, Atlanta, GA 30301",Pilas
34in Ultrawide Monitor,1,379.99,2021-06-12,"507 1st St, San Francisco, CA 94016",Monitores
AA Batteries (4-pack),2,3.84,2021-06-25,"820 5th St, New York City, NY 10001",Pilas
Wired Headphones,1,11.99,2021-06-14,"559 11th St, Atlanta, GA 30301",Auriculares
AA Batteries (4-pack),2,3.84,2021-06-30,"34 14th St, San Francisco, CA 94016",Pilas
AAA Batteries (4-pack),1,2.99,2021-06-26,"624 Adams St, Atlanta, GA 30301",Pilas
Lightning Charging Cable,1,14.95,2021-06-22,"684 Maple St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2021-06-15,"627 Spruce St, Boston, MA 02215",Pilas
AA Batteries (4-pack),3,3.84,2021-06-20,"838 Dogwood St, Los Angeles, CA 90001",Pilas
AAA Batteries (4-pack),1,2.99,2021-06-27,"649 7th St, Dallas, TX 75001",Pilas
20in Monitor,1,109.99,2021-06-10,"940 14th St, New York City, NY 10001",Monitores
Bose SoundSport Headphones,1,99.99,2021-06-20,"878 4th St, San Francisco, CA 94016",Auriculares
Macbook Pro Laptop,1,1700.0,2021-06-13,"763 2nd St, Los Angeles, CA 90001",Portátiles
27in FHD Monitor,1,149.99,2021-06-23,"297 12th St, Dallas, TX 75001",Monitores
Bose SoundSport Headphones,1,99.99,2021-06-13,"509 4th St, Dallas, TX 75001",Auriculares
Macbook Pro Laptop,1,1700.0,2021-06-11,"479 Willow St, Los Angeles, CA 90001",Portátiles
AAA Batteries (4-pack),1,2.99,2021-06-16,"641 Lincoln St, Portland, OR 97035",Pilas
AA Batteries (4-pack),2,3.84,2021-06-23,"749 North St, New York City, NY 10001",Pilas
27in 4K Gaming Monitor,1,389.99,2021-06-22,"476 1st St, Atlanta, GA 30301",Monitores
AA Batteries (4-pack),1,3.84,2021-06-16,"598 Meadow St, Boston, MA 02215",Pilas
ThinkPad Laptop,1,999.99,2021-06-23,"443 Maple St, New York City, NY 10001",Portátiles
AAA Batteries (4-pack),1,2.99,2021-06-18,"988 Maple St, Dallas, TX 75001",Pilas
27in FHD Monitor,1,149.99,2021-06-25,"225 West St, Atlanta, GA 30301",Monitores
Flatscreen TV,1,300.0,2021-06-29,"325 Park St, Portland, OR 97035",Televisores
Apple Airpods Headphones,1,150.0,2021-06-24,"395 Main St, Seattle, WA 98101",Auriculares
Apple Airpods Headphones,1,150.0,2021-06-22,"372 Spruce St, Portland, OR 97035",Auriculares
Bose SoundSport Headphones,1,99.99,2021-06-11,"287 Cedar St, Boston, MA 02215",Auriculares
Apple Airpods Headphones,1,150.0,2021-06-23,"816 1st St, San Francisco, CA 94016",Auriculares
34in Ultrawide Monitor,1,379.99,2021-06-14,"973 Lakeview St, San Francisco, CA 94016",Monitores
Wired Headphones,1,11.99,2021-06-13,"314 Ridge St, San Francisco, CA 94016",Auriculares
ThinkPad Laptop,1,999.99,2021-06-28,"993 6th St, San Francisco, CA 94016",Portátiles
Bose SoundSport Headphones,1,99.99,2021-06-21,"271 13th St, New York City, NY 10001",Auriculares
iPhone,1,700.0,2021-06-19,"784 Pine St, Austin, TX 73301",Teléfonos
USB-C Charging Cable,1,11.95,2021-06-26,"24 Main St, Seattle, WA 98101",Cargadores
Lightning Charging Cable,1,14.95,2021-06-12,"68 Lake St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2021-06-30,"175 6th St, Los Angeles, CA 90001",Cargadores
Apple Airpods Headphones,1,150.0,2021-06-25,"575 Wilson St, Portland, ME 04101",Auriculares
Macbook Pro Laptop,1,1700.0,2021-06-17,"171 Lakeview St, Seattle, WA 98101",Portátiles
AAA Batteries (4-pack),2,2.99,2021-06-27,"82 2nd St, Boston, MA 02215",Pilas
Lightning Charging Cable,1,14.95,2021-06-20,"641 1st St, Austin, TX 73301",Cargadores
