Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
USB-C Charging Cable,2,11.95,2019-04-19,"917 1st St, Dallas, TX 75001",Cargadores
Bose SoundSport Headphones,1,99.99,2019-04-07,"682 Chestnut St, Boston, MA 02215",Auriculares
Google Phone,1,600,2019-04-12,"669 Spruce St, Los Angeles, CA 90001",Teléfonos
Wired Headphones,1,11.99,2019-04-12,"669 Spruce St, Los Angeles, CA 90001",Auriculares
Wired Headphones,1,11.99,2019-04-30,"333 8th St, Los Angeles, CA 90001",Auriculares
USB-C Charging Cable,1,11.95,2019-04-29,"381 Wilson St, San Francisco, CA 94016",Cargadores
Bose SoundSport Headphones,1,99.99,2019-04-02,"668 Center St, Seattle, WA 98101",Auriculares
USB-C Charging Cable,1,11.95,2019-04-12,"790 Ridge St, Atlanta, GA 30301",Cargadores
Macbook Pro Laptop,1,1700,2019-04-24,"915 Willow St, San Francisco, CA 94016",Portátiles
Wired Headphones,1,11.99,2019-04-08,"83 7th St, Boston, MA 02215",Auriculares
Google Phone,1,600,2019-04-18,"444 7th St, Los Angeles, CA 90001",Teléfonos
Lightning Charging Cable,1,14.95,2019-04-15,"438 Elm St, Seattle, WA 98101",Cargadores
27in 4K Gaming Monitor,1,389.99,2019-04-16,"657 Hill St, Dallas, TX 75001",Monitores
AA Batteries (4-pack),1,3.84,2019-04-22,"186 12th St, Dallas, TX 75001",Pilas
Lightning Charging Cable,1,14.95,2019-04-19,"253 Johnson St, Atlanta, GA 30301",Cargadores
Apple Airpods Headphones,1,150,2019-04-04,"149 Dogwood St, New York City, NY 10001",Auriculares
USB-C Charging Cable,1,11.95,2019-04-27,"214 Chestnut St, San Francisco, CA 94016",Cargadores
Google Phone,1,600,2019-04-03,"20 Hill St, Los Angeles, CA 90001",Teléfonos
USB-C Charging Cable,1,11.95,2019-04-03,"20 Hill St, Los Angeles, CA 90001",Cargadores
AAA Batteries (4-pack),1,2.99,2019-04-27,"433 Hill St, New York City, NY 10001",Pilas
Apple Airpods Headphones,1,150,2019-04-28,"771 Ridge St, Los Angeles, CA 90001",Auriculares
Apple Airpods Headphones,1,150,2019-04-04,"260 Spruce St, Dallas, TX 75001",Auriculares
Apple Airpods Headphones,1,150,2019-04-09,"513 Church St, Boston, MA 02215",Auriculares
AA Batteries (4-pack),1,3.84,2019-04-11,"886 Jefferson St, New York City, NY 10001",Pilas
USB-C Charging Cable,1,11.95,2019-04-05,"886 Willow St, Los Angeles, CA 90001",Cargadores
iPhone,1,700,2019-04-09,"84 Jackson St, Boston, MA 02215",Teléfonos
Bose SoundSport Headphones,1,99.99,2019-04-27,"178 Lincoln St, Atlanta, GA 30301",Auriculares
AAA Batteries (4-pack),2,2.99,2019-04-20,"146 Jackson St, Portland, OR 97035",Pilas
Flatscreen TV,1,300,2019-04-24,"936 Church St, San Francisco, CA 94016",Televisores
Bose SoundSport Headphones,1,99.99,2019-04-07,"823 Highland St, Boston, MA 02215",Auriculares
Bose SoundSport Headphones,1,99.99,2019-04-07,"823 Highland St, Boston, MA 02215",Auriculares
AAA Batteries (4-pack),2,2.99,2019-04-10,"365 Center St, San Francisco, CA 94016",Pilas
Google Phone,1,600,2019-04-10,"365 Center St, San Francisco, CA 94016",Teléfonos
27in FHD Monitor,1,149.99,2019-04-29,"557 5th St, Los Angeles, CA 90001",Monitores
20in Monitor,1,109.99,2019-04-02,"765 Cherry St, Seattle, WA 98101",Monitores
Lightning Charging Cable,1,14.95,2019-04-04,"846 Highland St, Atlanta, GA 30301",Cargadores
Google Phone,1,600,2019-04-11,"873 6th St, New York City, NY 10001",Teléfonos
Apple Airpods Headphones,1,150,2019-04-21,"600 Maple St, Austin, TX 73301",Auriculares
USB-C Charging Cable,1,11.95,2019-04-27,"352 4th St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,2,14.95,2019-04-15,"906 7th St, Portland, OR 97035",Cargadores
Wired Headphones,1,11.99,2019-04-17,"63 Maple St, San Francisco, CA 94016",Auriculares
Wired Headphones,3,11.99,2019-04-02,"383 6th St, Los Angeles, CA 90001",Auriculares
Apple Airpods Headphones,1,150,2019-04-27,"572 Meadow St, Dallas, TX 75001",Auriculares
USB-C Charging Cable,1,11.95,2019-04-19,"681 11th St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),2,2.99,2019-04-21,"294 Park St, San Francisco, CA 94016",Pilas
Lightning Charging Cable,1,14.95,2019-04-11,"279 Maple St, New York City, NY 10001",Cargadores
27in 4K Gaming Monitor,1,389.99,2019-04-30,"87 West St, Boston, MA 02215",Monitores
USB-C Charging Cable,1,11.95,2019-04-02,"754 10th St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2019-04-30,"9 Jefferson St, Dallas, TX 75001",Cargadores
USB-C Charging Cable,1,11.95,2019-04-01,"858 6th St, San Francisco, CA 94016",Cargadores
USB-C Charging Cable,1,11.95,2019-04-02,"462 11th St, San Francisco, CA 94016",Cargadores
USB-C Charging Cable,1,11.95,2019-04-15,"717 Pine St, San Francisco, CA 94016",Cargadores
LG Dryer,1,600.0,2019-04-21,"487 Maple St, San Francisco, CA 94016",Electrodomésticos
AAA Batteries (4-pack),2,2.99,2019-04-18,"689 10th St, Boston, MA 02215",Pilas
iPhone,1,700,2019-04-11,"15 Cherry St, San Francisco, CA 94016",Teléfonos
Apple Airpods Headphones,1,150,2019-04-11,"267 11th St, Austin, TX 73301",Auriculares
AAA Batteries (4-pack),1,2.99,2019-04-26,"382 River St, Dallas, TX 75001",Pilas
Bose SoundSport Headphones,1,99.99,2019-04-30,"971 Sunset St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2019-04-04,"149 North St, Seattle, WA 98101",Auriculares
USB-C Charging Cable,2,11.95,2019-04-26,"405 4th St, New York City, NY 10001",Cargadores
AA Batteries (4-pack),1,3.84,2019-04-07,"647 Jackson St, San Francisco, CA 94016",Pilas
Lightning Charging Cable,1,14.95,2019-04-30,"833 River St, Dallas, TX 75001",Cargadores
USB-C Charging Cable,1,11.95,2019-04-05,"380 Washington St, San Francisco, CA 94016",Cargadores
Apple Airpods Headphones,1,150,2019-04-25,"319 8th St, Portland, OR 97035",Auriculares
Lightning Charging Cable,2,14.95,2019-04-18,"273 South St, San Francisco, CA 94016",Cargadores
Flatscreen TV,1,300,2019-04-16,"116 North St, Los Angeles, CA 90001",Televisores
USB-C Charging Cable,1,11.95,2019-04-17,"994 Pine St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2019-04-11,"863 8th St, Boston, MA 02215",Cargadores
AA Batteries (4-pack),1,3.84,2019-04-11,"983 11th St, San Francisco, CA 94016",Pilas
27in FHD Monitor,1,149.99,2019-04-20,"807 12th St, Atlanta, GA 30301",Monitores
AA Batteries (4-pack),1,3.84,2019-04-28,"664 Church St, Seattle, WA 98101",Pilas
AAA Batteries (4-pack),2,2.99,2019-04-24,"858 5th St, San Francisco, CA 94016",Pilas
Bose SoundSport Headphones,1,99.99,2019-04-01,"491 Chestnut St, Boston, MA 02215",Auriculares
Wired Headphones,1,11.99,2019-04-21,"994 13th St, Atlanta, GA 30301",Auriculares
Lightning Charging Cable,2,14.95,2019-04-15,"628 Wilson St, Dallas, TX 75001",Cargadores
USB-C Charging Cable,1,11.95,2019-04-24,"101 Lincoln St, San Francisco, CA 94016",Cargadores
Google Phone,1,600,2019-04-10,"770 Maple St, San Francisco, CA 94016",Teléfonos
USB-C Charging Cable,1,11.95,2019-04-13,"292 Dogwood St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2019-04-14,"814 Madison St, San Francisco, CA 94016",Pilas
ThinkPad Laptop,1,999.99,2019-04-23,"863 Hickory St, Los Angeles, CA 90001",Portátiles
Lightning Charging Cable,1,14.95,2019-04-10,"311 Madison St, Atlanta, GA 30301",Cargadores
Vareebadd Phone,1,400,2019-04-26,"85 North St, San Francisco, CA 94016",Teléfonos
AA Batteries (4-pack),1,3.84,2019-04-30,"140 10th St, Boston, MA 02215",Pilas
AAA Batteries (4-pack),1,2.99,2019-04-17,"261 Sunset St, New York City, NY 10001",Pilas
USB-C Charging Cable,1,11.95,2019-04-20,"869 Cherry St, Boston, MA 02215",Cargadores
Macbook Pro Laptop,1,1700,2019-04-28,"853 Cedar St, San Francisco, CA 94016",Portátiles
Wired Headphones,2,11.99,2019-04-27,"164 Lake St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,1,14.95,2019-04-25,"655 Sunset St, Boston, MA 02215",Cargadores
AA Batteries (4-pack),1,3.84,2019-04-17,"72 Elm St, Portland, OR 97035",Pilas
Macbook Pro Laptop,1,1700,2019-04-27,"373 Adams St, Boston, MA 02215",Portátiles
USB-C Charging Cable,1,11.95,2019-04-23,"962 7th St, Los Angeles, CA 90001",Cargadores
AAA Batteries (4-pack),3,2.99,2019-04-26,"514 Lake St, Dallas, TX 75001",Pilas
Macbook Pro Laptop,1,1700,2019-04-22,"657 Adams St, Portland, OR 97035",Portátiles
Google Phone,1,600,2019-04-21,"273 South St, Los Angeles, CA 90001",Teléfonos
27in FHD Monitor,1,149.99,2019-04-24,"732 2nd St, Portland, OR 97035",Monitores
USB-C Charging Cable,1,11.95,2019-04-09,"702 11th St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2019-04-12,"153 River St, Boston, MA 02215",Cargadores
iPhone,1,700,2019-04-07,"997 South St, Boston, MA 02215",Teléfonos
LG Washing Machine,1,600.0,2019-04-09,"502 14th St, New York City, NY 10001",Electrodomésticos
AA Batteries (4-pack),1,3.84,2019-04-26,"285 Chestnut St, San Francisco, CA 94016",Pilas
USB-C Charging Cable,1,11.95,2019-04-15,"880 Lakeview St, Seattle, WA 98101",Cargadores
Apple Airpods Headphones,1,150,2019-04-11,"848 Center St, San Francisco, CA 94016",Auriculares
Google Phone,1,600,2019-04-12,"12 Lakeview St, New York City, NY 10001",Teléfonos
ThinkPad Laptop,1,999.99,2019-04-23,"774 Forest St, Los Angeles, CA 90001",Portátiles
AAA Batteries (4-pack),2,2.99,2019-04-22,"573 Pine St, San Francisco, CA 94016",Pilas
20in Monitor,1,109.99,2019-04-29,"804 Church St, Dallas, TX 75001",Monitores
AA Batteries (4-pack),1,3.84,2019-04-16,"267 West St, Boston, MA 02215",Pilas
Wired Headphones,1,11.99,2019-04-25,"522 6th St, Atlanta, GA 30301",Auriculares
34in Ultrawide Monitor,1,379.99,2019-04-05,"678 Hickory St, Portland, OR 97035",Monitores
Bose SoundSport Headphones,1,99.99,2019-04-05,"450 Johnson St, Seattle, WA 98101",Auriculares
AAA Batteries (4-pack),1,2.99,2019-04-13,"544 Madison St, Los Angeles, CA 90001",Pilas
ThinkPad Laptop,1,999.99,2019-04-07,"927 13th St, Dallas, TX 75001",Portátiles
