Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Wired Headphones,2,11.99,2022-09-12,"359 Spruce St, Seattle, WA 98101",Auriculares
AA Batteries (4-pack),2,3.84,2022-09-10,"631 2nd St, Los Angeles, CA 90001",Pilas
Wired Headphones,1,11.99,2022-09-06,"58 9th St, San Francisco, CA 94016",Auriculares
AA Batteries (4-pack),1,3.84,2022-09-07,"295 1st St, Boston, MA 02215",Pilas
27in FHD Monitor,1,149.99,2022-09-12,"196 West St, Dallas, TX 75001",Monitores
Apple Airpods Headphones,1,150.0,2022-09-04,"238 Highland St, Atlanta, GA 30301",Auriculares
USB-C Charging Cable,1,11.95,2022-09-04,"668 Meadow St, New York City, NY 10001",Cargadores
AAA Batteries (4-pack),1,2.99,2022-09-02,"13 Cedar St, San Francisco, CA 94016",Pilas
USB-C Charging Cable,1,11.95,2022-09-04,"916 Meadow St, Boston, MA 02215",Cargadores
USB-C Charging Cable,1,11.95,2022-09-01,"567 Center St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2022-09-02,"530 Church St, New York City, NY 10001",Cargadores
AA Batteries (4-pack),1,3.84,2022-09-06,"246 Willow St, San Francisco, CA 94016",Pilas
AA Batteries (4-pack),2,3.84,2022-09-01,"763 Hill St, Atlanta, GA 30301",Pilas
ThinkPad Laptop,1,999.99,2022-09-04,"615 11th St, Dallas, TX 75001",Portátiles
Apple Airpods Headphones,1,150.0,2022-09-08,"353 Madison St, San Francisco, CA 94016",Auriculares
Macbook Pro Laptop,1,1700.0,2022-09-09,"627 Lincoln St, Dallas, TX 75001",Portátiles
AA Batteries (4-pack),2,3.84,2022-09-11,"548 Jefferson St, Boston, MA 02215",Pilas
27in 4K Gaming Monitor,1,389.99,2022-09-11,"194 Dogwood St, Atlanta, GA 30301",Monitores
27in 4K Gaming Monitor,1,389.99,2022-09-04,"628 Jefferson St, Portland, OR 97035",Monitores
Apple Airpods Headphones,1,150.0,2022-09-05,"881 10th St, Dallas, TX 75001",Auriculares
