Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Wired Headphones,1,11.99,2021-05-08,"333 8th St, Los Angeles, CA 90001",Auriculares
USB-C Charging Cable,1,11.95,2021-05-07,"381 Wilson St, San Francisco, CA 94016",Cargadores
Macbook Pro Laptop,1,1700,2021-05-02,"915 Willow St, San Francisco, CA 94016",Portátiles
USB-C Charging Cable,1,11.95,2021-05-05,"214 Chestnut St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2021-05-05,"433 Hill St, New York City, NY 10001",Pilas
Apple Airpods Headphones,1,150,2021-05-06,"771 Ridge St, Los Angeles, CA 90001",Auriculares
Bose SoundSport Headphones,1,99.99,2021-05-05,"178 Lincoln St, Atlanta, GA 30301",Auriculares
Flatscreen TV,1,300,2021-05-02,"936 Church St, San Francisco, CA 94016",Televisores
27in FHD Monitor,1,149.99,2021-05-07,"557 5th St, Los Angeles, CA 90001",Monitores
USB-C Charging Cable,1,11.95,2021-05-05,"352 4th St, Los Angeles, CA 90001",Cargadores
Apple Airpods Headphones,1,150,2021-05-05,"572 Meadow St, Dallas, TX 75001",Auriculares
27in 4K Gaming Monitor,1,389.99,2021-05-08,"87 West St, Boston, MA 02215",Monitores
Lightning Charging Cable,1,14.95,2021-05-08,"9 Jefferson St, Dallas, TX 75001",Cargadores
AAA Batteries (4-pack),1,2.99,2021-05-04,"382 River St, Dallas, TX 75001",Pilas
Bose SoundSport Headphones,1,99.99,2021-05-08,"971 Sunset St, San Francisco, CA 94016",Auriculares
USB-C Charging Cable,2,11.95,2021-05-04,"405 4th St, New York City, NY 10001",Cargadores
Lightning Charging Cable,1,14.95,2021-05-08,"833 River St, Dallas, TX 75001",Cargadores
Apple Airpods Headphones,1,150,2021-05-03,"319 8th St, Portland, OR 97035",Auriculares
AA Batteries (4-pack),1,3.84,2021-05-06,"664 Church St, Seattle, WA 98101",Pilas
AAA Batteries (4-pack),2,2.99,2021-05-02,"858 5th St, San Francisco, CA 94016",Pilas
