Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Flatscreen TV,1,300,2022-07-17,"590 4th St, Seattle, WA 98101",Televisores
Bose SoundSport Headphones,1,99.99,2022-07-15,"899 Elm St, San Francisco, CA 94016",Auriculares
LG Dryer,1,600.0,2022-07-29,"490 Adams St, New York City, NY 10001",Electrodomésticos
USB-C Charging Cable,1,11.95,2022-07-26,"207 1st St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2022-07-26,"29 Jefferson St, Dallas, TX 75001",Cargadores
Lightning Charging Cable,1,14.95,2022-07-14,"960 Willow St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2022-07-17,"105 Johnson St, Los Angeles, CA 90001",Pilas
Bose SoundSport Headphones,1,99.99,2022-07-25,"444 Spruce St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2022-07-21,"764 Adams St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,2,14.95,2022-07-27,"577 Lakeview St, Los Angeles, CA 90001",Cargadores
Google Phone,1,600,2022-07-27,"524 Cherry St, San Francisco, CA 94016",Teléfonos
Vareebadd Phone,1,400,2022-07-16,"882 Hickory St, Boston, MA 02215",Teléfonos
USB-C Charging Cable,1,11.95,2022-07-30,"145 Pine St, Boston, MA 02215",Cargadores
AA Batteries (4-pack),2,3.84,2022-07-15,"437 River St, Seattle, WA 98101",Pilas
27in FHD Monitor,1,149.99,2022-07-16,"483 West St, Boston, MA 02215",Monitores
Lightning Charging Cable,2,14.95,2022-07-15,"538 North St, San Francisco, CA 94016",Cargadores
Apple Airpods Headphones,1,150,2022-07-29,"597 Madison St, Los Angeles, CA 90001",Auriculares
Wired Headphones,2,11.99,2022-07-17,"779 Maple St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2022-07-14,"631 Willow St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,1,14.95,2022-07-19,"424 Church St, Portland, OR 97035",Cargadores
27in FHD Monitor,1,149.99,2022-07-19,"70 Meadow St, San Francisco, CA 94016",Monitores
20in Monitor,1,109.99,2022-07-26,"49 Park St, New York City, NY 10001",Monitores
ThinkPad Laptop,1,999.99,2022-07-28,"612 Spruce St, New York City, NY 10001",Portátiles
USB-C Charging Cable,1,11.95,2022-07-22,"631 12th St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2022-07-29,"358 1st St, Dallas, TX 75001",Cargadores
Apple Airpods Headphones,1,150,2022-07-20,"781 Maple St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,1,14.95,2022-07-18,"879 Park St, San Francisco, CA 94016",Cargadores
AA Batteries (4-pack),2,3.84,2022-07-26,"980 Chestnut St, Dallas, TX 75001",Pilas
USB-C Charging Cable,1,11.95,2022-07-13,"117 Lake St, Los Angeles, CA 90001",Cargadores
27in 4K Gaming Monitor,1,389.99,2022-07-23,"525 6th St, Atlanta, GA 30301",Monitores
AAA Batteries (4-pack),1,2.99,2022-07-31,"143 5th St, Portland, OR 97035",Pilas
ThinkPad Laptop,1,999.99,2022-07-27,"252 River St, Dallas, TX 75001",Portátiles
Lightning Charging Cable,1,14.95,2022-07-23,"638 Dogwood St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2022-07-16,"840 5th St, Dallas, TX 75001",Cargadores
AAA Batteries (4-pack),2,2.99,2022-07-19,"792 Cedar St, San Francisco, CA 94016",Pilas
AA Batteries (4-pack),2,3.84,2022-07-25,"718 7th St, Seattle, WA 98101",Pilas
20in Monitor,1,109.99,2022-07-26,"161 13th St, San Francisco, CA 94016",Monitores
AAA Batteries (4-pack),1,2.99,2022-07-17,"248 Johnson St, San Francisco, CA 94016",Pilas
AAA Batteries (4-pack),1,2.99,2022-07-21,"594 Church St, Atlanta, GA 30301",Pilas
Apple Airpods Headphones,1,150,2022-07-17,"444 Spruce St, Austin, TX 73301",Auriculares
Wired Headphones,1,11.99,2022-07-21,"917 Madison St, Seattle, WA 98101",Auriculares
Flatscreen TV,1,300,2022-07-30,"509 Hickory St, Seattle, WA 98101",Televisores
Lightning Charging Cable,1,14.95,2022-07-21,"112 Wilson St, Los Angeles, CA 90001",Cargadores
Wired Headphones,1,11.99,2022-07-31,"541 Hickory St, Los Angeles, CA 90001",Auriculares
Lightning Charging Cable,1,14.95,2022-07-29,"390 1st St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2022-07-26,"660 Walnut St, Los Angeles, CA 90001",Cargadores
AAA Batteries (4-pack),2,2.99,2022-07-16,"941 Willow St, Seattle, WA 98101",Pilas
Bose SoundSport Headphones,1,99.99,2022-07-23,"844 Center St, Seattle, WA 98101",Auriculares
Bose SoundSport Headphones,1,99.99,2022-07-25,"519 Park St, Atlanta, GA 30301",Auriculares
Lightning Charging Cable,1,14.95,2022-07-28,"639 Spruce St, Boston, MA 02215",Cargadores
Lightning Charging Cable,1,14.95,2022-07-17,"313 Forest St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2022-07-16,"647 Meadow St, Dallas, TX 75001",Cargadores
Lightning Charging Cable,1,14.95,2022-07-19,"48 Walnut St, Dallas, TX 75001",Cargadores
AAA Batteries (4-pack),2,2.99,2022-07-31,"419 Jackson St, New York City, NY 10001",Pilas
27in FHD Monitor,1,149.99,2022-07-17,"450 8th St, Los Angeles, CA 90001",Monitores
AA Batteries (4-pack),1,3.84,2022-07-17,"779 Washington St, San Francisco, CA 94016",Pilas
USB-C Charging Cable,1,11.95,2022-07-22,"251 Cedar St, New York City, NY 10001",Cargadores
27in FHD Monitor,1,149.99,2022-07-24,"885 Sunset St, Los Angeles, CA 90001",Monitores
AAA Batteries (4-pack),1,2.99,2022-07-31,"670 10th St, Atlanta, GA 30301",Pilas
AA Batteries (4-pack),1,3.84,2022-07-25,"603 12th St, Dallas, TX 75001",Pilas
Lightning Charging Cable,1,14.95,2022-07-21,"18 Jefferson St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2022-07-26,"911 Spruce St, San Francisco, CA 94016",Pilas
Bose SoundSport Headphones,1,99.99,2022-07-18,"481 10th St, Portland, OR 97035",Auriculares
AAA Batteries (4-pack),3,2.99,2022-07-24,"289 13th St, Boston, MA 02215",Pilas
