Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Flatscreen TV,1,300,2023-07-21,"590 4th St, Seattle, WA 98101",Televisores
Bose SoundSport Headphones,1,99.99,2023-07-19,"899 Elm St, San Francisco, CA 94016",Auriculares
USB-C Charging Cable,1,11.95,2023-07-30,"207 1st St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2023-07-30,"29 Jefferson St, Dallas, TX 75001",Cargadores
Lightning Charging Cable,1,14.95,2023-07-18,"960 Willow St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2023-07-21,"105 Johnson St, Los Angeles, CA 90001",Pilas
Bose SoundSport Headphones,1,99.99,2023-07-29,"444 Spruce St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2023-07-25,"764 Adams St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,2,14.95,2023-07-31,"577 Lakeview St, Los Angeles, CA 90001",Cargadores
Google Phone,1,600,2023-07-31,"524 Cherry St, San Francisco, CA 94016",Teléfonos
Vareebadd Phone,1,400,2023-07-20,"882 Hickory St, Boston, MA 02215",Teléfonos
AA Batteries (4-pack),2,3.84,2023-07-19,"437 River St, Seattle, WA 98101",Pilas
27in FHD Monitor,1,149.99,2023-07-20,"483 West St, Boston, MA 02215",Monitores
Lightning Charging Cable,2,14.95,2023-07-19,"538 North St, San Francisco, CA 94016",Cargadores
Wired Headphones,2,11.99,2023-07-21,"779 Maple St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2023-07-18,"631 Willow St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,1,14.95,2023-07-23,"424 Church St, Portland, OR 97035",Cargadores
27in FHD Monitor,1,149.99,2023-07-23,"70 Meadow St, San Francisco, CA 94016",Monitores
20in Monitor,1,109.99,2023-07-30,"49 Park St, New York City, NY 10001",Monitores
USB-C Charging Cable,1,11.95,2023-07-26,"631 12th St, San Francisco, CA 94016",Cargadores
Apple Airpods Headphones,1,150,2023-07-24,"781 Maple St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,1,14.95,2023-07-22,"879 Park St, San Francisco, CA 94016",Cargadores
AA Batteries (4-pack),2,3.84,2023-07-30,"980 Chestnut St, Dallas, TX 75001",Pilas
USB-C Charging Cable,1,11.95,2023-07-17,"117 Lake St, Los Angeles, CA 90001",Cargadores
27in 4K Gaming Monitor,1,389.99,2023-07-27,"525 6th St, Atlanta, GA 30301",Monitores
ThinkPad Laptop,1,999.99,2023-07-31,"252 River St, Dallas, TX 75001",Portátiles
Lightning Charging Cable,1,14.95,2023-07-27,"638 Dogwood St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2023-07-20,"840 5th St, Dallas, TX 75001",Cargadores
AAA Batteries (4-pack),2,2.99,2023-07-23,"792 Cedar St, San Francisco, CA 94016",Pilas
AA Batteries (4-pack),2,3.84,2023-07-29,"718 7th St, Seattle, WA 98101",Pilas
20in Monitor,1,109.99,2023-07-30,"161 13th St, San Francisco, CA 94016",Monitores
AAA Batteries (4-pack),1,2.99,2023-07-21,"248 Johnson St, San Francisco, CA 94016",Pilas
AAA Batteries (4-pack),1,2.99,2023-07-25,"594 Church St, Atlanta, GA 30301",Pilas
Apple Airpods Headphones,1,150,2023-07-21,"444 Spruce St, Austin, TX 73301",Auriculares
Wired Headphones,1,11.99,2023-07-25,"917 Madison St, Seattle, WA 98101",Auriculares
Lightning Charging Cable,1,14.95,2023-07-25,"112 Wilson St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2023-07-30,"660 Walnut St, Los Angeles, CA 90001",Cargadores
AAA Batteries (4-pack),2,2.99,2023-07-20,"941 Willow St, Seattle, WA 98101",Pilas
Bose SoundSport Headphones,1,99.99,2023-07-27,"844 Center St, Seattle, WA 98101",Auriculares
Bose SoundSport Headphones,1,99.99,2023-07-29,"519 Park St, Atlanta, GA 30301",Auriculares
Lightning Charging Cable,1,14.95,2023-07-21,"313 Forest St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2023-07-20,"647 Meadow St, Dallas, TX 75001",Cargadores
Lightning Charging Cable,1,14.95,2023-07-23,"48 Walnut St, Dallas, TX 75001",Cargadores
27in FHD Monitor,1,149.99,2023-07-21,"450 8th St, Los Angeles, CA 90001",Monitores
AA Batteries (4-pack),1,3.84,2023-07-21,"779 Washington St, San Francisco, CA 94016",Pilas
USB-C Charging Cable,1,11.95,2023-07-26,"251 Cedar St, New York City, NY 10001",Cargadores
27in FHD Monitor,1,149.99,2023-07-28,"885 Sunset St, Los Angeles, CA 90001",Monitores
AA Batteries (4-pack),1,3.84,2023-07-29,"603 12th St, Dallas, TX 75001",Pilas
Lightning Charging Cable,1,14.95,2023-07-25,"18 Jefferson St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2023-07-30,"911 Spruce St, San Francisco, CA 94016",Pilas
