Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
USB-C Charging Cable,2,11.95,2024-05-09,"917 1st St, Dallas, TX 75001",Cargadores
Google Phone,1,600,2024-05-02,"669 Spruce St, Los Angeles, CA 90001",Teléfonos
Wired Headphones,1,11.99,2024-05-02,"669 Spruce St, Los Angeles, CA 90001",Auriculares
Wired Headphones,1,11.99,2024-05-20,"333 8th St, Los Angeles, CA 90001",Auriculares
USB-C Charging Cable,1,11.95,2024-05-19,"381 Wilson St, San Francisco, CA 94016",Cargadores
USB-C Charging Cable,1,11.95,2024-05-02,"790 Ridge St, Atlanta, GA 30301",Cargadores
Macbook Pro Laptop,1,1700,2024-05-14,"915 Willow St, San Francisco, CA 94016",Portátiles
Google Phone,1,600,2024-05-08,"444 7th St, Los Angeles, CA 90001",Teléfonos
Lightning Charging Cable,1,14.95,2024-05-05,"438 Elm St, Seattle, WA 98101",Cargadores
27in 4K Gaming Monitor,1,389.99,2024-05-06,"657 Hill St, Dallas, TX 75001",Monitores
AA Batteries (4-pack),1,3.84,2024-05-12,"186 12th St, Dallas, TX 75001",Pilas
Lightning Charging Cable,1,14.95,2024-05-09,"253 Johnson St, Atlanta, GA 30301",Cargadores
USB-C Charging Cable,1,11.95,2024-05-17,"214 Chestnut St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2024-05-17,"433 Hill St, New York City, NY 10001",Pilas
Apple Airpods Headphones,1,150,2024-05-18,"771 Ridge St, Los Angeles, CA 90001",Auriculares
AA Batteries (4-pack),1,3.84,2024-05-01,"886 Jefferson St, New York City, NY 10001",Pilas
Bose SoundSport Headphones,1,99.99,2024-05-17,"178 Lincoln St, Atlanta, GA 30301",Auriculares
AAA Batteries (4-pack),2,2.99,2024-05-10,"146 Jackson St, Portland, OR 97035",Pilas
Flatscreen TV,1,300,2024-05-14,"936 Church St, San Francisco, CA 94016",Televisores
27in FHD Monitor,1,149.99,2024-05-19,"557 5th St, Los Angeles, CA 90001",Monitores
Google Phone,1,600,2024-05-01,"873 6th St, New York City, NY 10001",Teléfonos
Apple Airpods Headphones,1,150,2024-05-11,"600 Maple St, Austin, TX 73301",Auriculares
USB-C Charging Cable,1,11.95,2024-05-17,"352 4th St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,2,14.95,2024-05-05,"906 7th St, Portland, OR 97035",Cargadores
Wired Headphones,1,11.99,2024-05-07,"63 Maple St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2024-05-17,"572 Meadow St, Dallas, TX 75001",Auriculares
USB-C Charging Cable,1,11.95,2024-05-09,"681 11th St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),2,2.99,2024-05-11,"294 Park St, San Francisco, CA 94016",Pilas
Lightning Charging Cable,1,14.95,2024-05-01,"279 Maple St, New York City, NY 10001",Cargadores
27in 4K Gaming Monitor,1,389.99,2024-05-20,"87 West St, Boston, MA 02215",Monitores
Lightning Charging Cable,1,14.95,2024-05-20,"9 Jefferson St, Dallas, TX 75001",Cargadores
USB-C Charging Cable,1,11.95,2024-05-05,"717 Pine St, San Francisco, CA 94016",Cargadores
LG Dryer,1,600.0,2024-05-11,"487 Maple St, San Francisco, CA 94016",Electrodomésticos
AAA Batteries (4-pack),2,2.99,2024-05-08,"689 10th St, Boston, MA 02215",Pilas
iPhone,1,700,2024-05-01,"15 Cherry St, San Francisco, CA 94016",Teléfonos
Apple Airpods Headphones,1,150,2024-05-01,"267 11th St, Austin, TX 73301",Auriculares
AAA Batteries (4-pack),1,2.99,2024-05-16,"382 River St, Dallas, TX 75001",Pilas
Bose SoundSport Headphones,1,99.99,2024-05-20,"971 Sunset St, San Francisco, CA 94016",Auriculares
USB-C Charging Cable,2,11.95,2024-05-16,"405 4th St, New York City, NY 10001",Cargadores
Lightning Charging Cable,1,14.95,2024-05-20,"833 River St, Dallas, TX 75001",Cargadores
Apple Airpods Headphones,1,150,2024-05-15,"319 8th St, Portland, OR 97035",Auriculares
Lightning Charging Cable,2,14.95,2024-05-08,"273 South St, San Francisco, CA 94016",Cargadores
Flatscreen TV,1,300,2024-05-06,"116 North St, Los Angeles, CA 90001",Televisores
USB-C Charging Cable,1,11.95,2024-05-07,"994 Pine St, Los Angeles, CA 90001",Cargadores
Lightning Charging Cable,1,14.95,2024-05-01,"863 8th St, Boston, MA 02215",Cargadores
AA Batteries (4-pack),1,3.84,2024-05-01,"983 11th St, San Francisco, CA 94016",Pilas
27in FHD Monitor,1,149.99,2024-05-10,"807 12th St, Atlanta, GA 30301",Monitores
AA Batteries (4-pack),1,3.84,2024-05-18,"664 Church St, Seattle, WA 98101",Pilas
AAA Batteries (4-pack),2,2.99,2024-05-14,"858 5th St, San Francisco, CA 94016",Pilas
Wired Headphones,1,11.99,2024-05-11,"994 13th St, Atlanta, GA 30301",Auriculares
Lightning Charging Cable,2,14.95,2024-05-05,"628 Wilson St, Dallas, TX 75001",Cargadores
USB-C Charging Cable,1,11.95,2024-05-14,"101 Lincoln St, San Francisco, CA 94016",Cargadores
USB-C Charging Cable,1,11.95,2024-05-03,"292 Dogwood St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),1,2.99,2024-05-04,"814 Madison St, San Francisco, CA 94016",Pilas
ThinkPad Laptop,1,999.99,2024-05-13,"863 Hickory St, Los Angeles, CA 90001",Portátiles
Vareebadd Phone,1,400,2024-05-16,"85 North St, San Francisco, CA 94016",Teléfonos
AA Batteries (4-pack),1,3.84,2024-05-20,"140 10th St, Boston, MA 02215",Pilas
AAA Batteries (4-pack),1,2.99,2024-05-07,"261 Sunset St, New York City, NY 10001",Pilas
USB-C Charging Cable,1,11.95,2024-05-10,"869 Cherry St, Boston, MA 02215",Cargadores
Macbook Pro Laptop,1,1700,2024-05-18,"853 Cedar St, San Francisco, CA 94016",Portátiles
Wired Headphones,2,11.99,2024-05-17,"164 Lake St, San Francisco, CA 94016",Auriculares
Lightning Charging Cable,1,14.95,2024-05-15,"655 Sunset St, Boston, MA 02215",Cargadores
AA Batteries (4-pack),1,3.84,2024-05-07,"72 Elm St, Portland, OR 97035",Pilas
Macbook Pro Laptop,1,1700,2024-05-17,"373 Adams St, Boston, MA 02215",Portátiles
USB-C Charging Cable,1,11.95,2024-05-13,"962 7th St, Los Angeles, CA 90001",Cargadores
AAA Batteries (4-pack),3,2.99,2024-05-16,"514 Lake St, Dallas, TX 75001",Pilas
Macbook Pro Laptop,1,1700,2024-05-12,"657 Adams St, Portland, OR 97035",Portátiles
Google Phone,1,600,2024-05-11,"273 South St, Los Angeles, CA 90001",Teléfonos
27in FHD Monitor,1,149.99,2024-05-14,"732 2nd St, Portland, OR 97035",Monitores
Lightning Charging Cable,1,14.95,2024-05-02,"153 River St, Boston, MA 02215",Cargadores
AA Batteries (4-pack),1,3.84,2024-05-16,"285 Chestnut St, San Francisco, CA 94016",Pilas
USB-C Charging Cable,1,11.95,2024-05-05,"880 Lakeview St, Seattle, WA 98101",Cargadores
Apple Airpods Headphones,1,150,2024-05-01,"848 Center St, San Francisco, CA 94016",Auriculares
Google Phone,1,600,2024-05-02,"12 Lakeview St, New York City, NY 10001",Teléfonos
ThinkPad Laptop,1,999.99,2024-05-13,"774 Forest St, Los Angeles, CA 90001",Portátiles
AAA Batteries (4-pack),2,2.99,2024-05-12,"573 Pine St, San Francisco, CA 94016",Pilas
20in Monitor,1,109.99,2024-05-19,"804 Church St, Dallas, TX 75001",Monitores
AA Batteries (4-pack),1,3.84,2024-05-06,"267 West St, Boston, MA 02215",Pilas
Wired Headphones,1,11.99,2024-05-15,"522 6th St, Atlanta, GA 30301",Auriculares
AAA Batteries (4-pack),1,2.99,2024-05-03,"544 Madison St, Los Angeles, CA 90001",Pilas
27in 4K Gaming Monitor,1,389.99,2024-05-01,"92 11th St, Los Angeles, CA 90001",Monitores
AA Batteries (4-pack),1,3.84,2024-05-05,"56 2nd St, Dallas, TX 75001",Pilas
Apple Airpods Headphones,1,150,2024-05-15,"892 Willow St, San Francisco, CA 94016",Auriculares
AAA Batteries (4-pack),2,2.99,2024-05-13,"738 Jefferson St, New York City, NY 10001",Pilas
Lightning Charging Cable,1,14.95,2024-05-02,"778 Maple St, New York City, NY 10001",Cargadores
USB-C Charging Cable,1,11.95,2024-05-02,"778 Maple St, New York City, NY 10001",Cargadores
AAA Batteries (4-pack),3,2.99,2024-05-10,"907 West St, Austin, TX 73301",Pilas
AA Batteries (4-pack),2,3.84,2024-05-09,"345 Sunset St, San Francisco, CA 94016",Pilas
Apple Airpods Headphones,1,150,2024-05-06,"245 West St, Boston, MA 02215",Auriculares
USB-C Charging Cable,1,11.95,2024-05-03,"368 Main St, Los Angeles, CA 90001",Cargadores
Apple Airpods Headphones,1,150,2024-05-10,"331 Cherry St, Seattle, WA 98101",Auriculares
ThinkPad Laptop,1,999.99,2024-05-10,"331 Cherry St, Seattle, WA 98101",Portátiles
Lightning Charging Cable,1,14.95,2024-05-17,"593 Adams St, Boston, MA 02215",Cargadores
USB-C Charging Cable,1,11.95,2024-05-07,"293 Washington St, Los Angeles, CA 90001",Cargadores
34in Ultrawide Monitor,1,379.99,2024-05-13,"114 10th St, New York City, NY 10001",Monitores
Wired Headphones,1,11.99,2024-05-07,"892 10th St, Austin, TX 73301",Auriculares
Macbook Pro Laptop,1,1700,2024-05-20,"121 Wilson St, Los Angeles, CA 90001",Portátiles
Flatscreen TV,1,300,2024-05-10,"229 Church St, San Francisco, CA 94016",Televisores
Bose SoundSport Headphones,1,99.99,2024-05-14,"659 Lincoln St, New York City, NY 10001",Auriculares
AAA Batteries (4-pack),2,2.99,2024-05-14,"659 Lincoln St, New York City, NY 10001",Pilas
AAA Batteries (4-pack),1,2.99,2024-05-02,"991 Lincoln St, Los Angeles, CA 90001",Pilas
AA Batteries (4-pack),1,3.84,2024-05-12,"252 Walnut St, San Francisco, CA 94016",Pilas
AA Batteries (4-pack),2,3.84,2024-05-02,"709 Lake St, Seattle, WA 98101",Pilas
Wired Headphones,1,11.99,2024-05-10,"675 Center St, New York City, NY 10001",Auriculares
Bose SoundSport Headphones,1,99.99,2024-05-18,"49 Jefferson St, Boston, MA 02215",Auriculares
USB-C Charging Cable,1,11.95,2024-05-01,"128 Church St, Austin, TX 73301",Cargadores
AA Batteries (4-pack),1,3.84,2024-05-13,"896 Sunset St, Seattle, WA 98101",Pilas
20in Monitor,1,109.99,2024-05-07,"748 Washington St, New York City, NY 10001",Monitores
AA Batteries (4-pack),2,3.84,2024-05-07,"909 Center St, Seattle, WA 98101",Pilas
Lightning Charging Cable,1,14.95,2024-05-03,"309 South St, New York City, NY 10001",Cargadores
Apple Airpods Headphones,1,150,2024-05-03,"408 Center St, Portland, OR 97035",Auriculares
