Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Bose SoundSport Headphones,1,99.99,2022-08-27,"492 Ridge St, Dallas, TX 75001",Auriculares
iPhone,1,700.0,2022-08-18,"149 7th St, Portland, OR 97035",Teléfonos
AA Batteries (4-pack),2,3.84,2022-08-27,"736 14th St, New York City, NY 10001",Pilas
Wired Headphones,1,11.99,2022-08-14,"470 Hill St, San Francisco, CA 94016",Auriculares
34in Ultrawide Monitor,1,379.99,2022-08-16,"470 Cherry St, Los Angeles, CA 90001",Monitores
20in Monitor,1,109.99,2022-08-25,"918 6th St, San Francisco, CA 94016",Monitores
Macbook Pro Laptop,1,1700.0,2022-08-19,"239 Spruce St, Los Angeles, CA 90001",Portátiles
LG Washing Machine,1,600.0,2022-08-21,"967 Willow St, San Francisco, CA 94016",Electrodomésticos
AA Batteries (4-pack),1,3.84,2022-08-31,"118 Johnson St, Portland, OR 97035",Pilas
Lightning Charging Cable,1,14.95,2022-08-21,"669 12th St, New York City, NY 10001",Cargadores
AAA Batteries (4-pack),1,2.99,2022-08-27,"766 Maple St, Dallas, TX 75001",Pilas
34in Ultrawide Monitor,1,379.99,2022-08-20,"821 7th St, Los Angeles, CA 90001",Monitores
AAA Batteries (4-pack),1,2.99,2022-08-20,"139 River St, San Francisco, CA 94016",Pilas
27in 4K Gaming Monitor,1,389.99,2022-08-24,"173 West St, Portland, OR 97035",Monitores
Apple Airpods Headphones,1,150.0,2022-08-26,"854 Sunset St, New York City, NY 10001",Auriculares
Bose SoundSport Headphones,1,99.99,2022-08-16,"905 Pine St, San Francisco, CA 94016",Auriculares
Wired Headphones,1,11.99,2022-08-19,"526 Chestnut St, Dallas, TX 75001",Auriculares
Wired Headphones,1,11.99,2022-08-21,"534 North St, Los Angeles, CA 90001",Auriculares
Apple Airpods Headphones,1,150.0,2022-08-18,"518 Main St, San Francisco, CA 94016",Auriculares
Bose SoundSport Headphones,1,99.99,2022-08-20,"861 Adams St, Atlanta, GA 30301",Auriculares
Flatscreen TV,1,300.0,2022-08-23,"415 Ridge St, San Francisco, CA 94016",Televisores
AA Batteries (4-pack),3,3.84,2022-08-23,"27 North St, Austin, TX 73301",Pilas
Google Phone,1,600.0,2022-08-26,"621 North St, San Francisco, CA 94016",Teléfonos
AA Batteries (4-pack),2,3.84,2022-08-26,"306 West St, Los Angeles, CA 90001",Pilas
iPhone,1,700.0,2022-08-16,"869 Jackson St, San Francisco, CA 94016",Teléfonos
Macbook Pro Laptop,1,1700.0,2022-08-16,"654 Chestnut St, Austin, TX 73301",Portátiles
27in FHD Monitor,1,149.99,2022-08-17,"852 8th St, San Francisco, CA 94016",Monitores
AA Batteries (4-pack),2,3.84,2022-08-29,"84 Cedar St, San Francisco, CA 94016",Pilas
USB-C Charging Cable,1,11.95,2022-08-29,"84 Cedar St, San Francisco, CA 94016",Cargadores
