Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
27in FHD Monitor,1,149.99,2023-10-30,"628 Jefferson St, New York City, NY 10001",Monitores
Wired Headphones,1,11.99,2023-10-23,"534 14th St, Los Angeles, CA 90001",Auriculares
AAA Batteries (4-pack),1,2.99,2023-10-17,"976 Lake St, New York City, NY 10001",Pilas
27in FHD Monitor,1,149.99,2023-10-29,"960 Ridge St, Boston, MA 02215",Monitores
USB-C Charging Cable,1,11.95,2023-10-26,"557 Forest St, San Francisco, CA 94016",Cargadores
27in FHD Monitor,1,149.99,2023-10-28,"218 14th St, San Francisco, CA 94016",Monitores
27in 4K Gaming Monitor,1,389.99,2023-10-25,"148 Lincoln St, San Francisco, CA 94016",Monitores
Apple Airpods Headphones,1,150.0,2023-10-29,"597 6th St, Los Angeles, CA 90001",Auriculares
Bose SoundSport Headphones,1,99.99,2023-10-17,"695 6th St, New York City, NY 10001",Auriculares
AA Batteries (4-pack),1,3.84,2023-10-28,"948 Forest St, San Francisco, CA 94016",Pilas
Lightning Charging Cable,1,14.95,2023-10-24,"134 Cherry St, Atlanta, GA 30301",Cargadores
Bose SoundSport Headphones,1,99.99,2023-10-29,"235 Adams St, Atlanta, GA 30301",Auriculares
Wired Headphones,1,11.99,2023-10-17,"901 Walnut St, Atlanta, GA 30301",Auriculares
Wired Headphones,1,11.99,2023-10-31,"291 Lincoln St, Los Angeles, CA 90001",Auriculares
AA Batteries (4-pack),3,3.84,2023-10-25,"11 Lakeview St, Seattle, WA 98101",Pilas
Bose SoundSport Headphones,1,99.99,2023-10-23,"883 5th St, Boston, MA 02215",Auriculares
Bose SoundSport Headphones,1,99.99,2023-10-23,"698 Center St, Dallas, TX 75001",Auriculares
AA Batteries (4-pack),1,3.84,2023-10-28,"665 Elm St, Atlanta, GA 30301",Pilas
27in FHD Monitor,1,149.99,2023-10-19,"854 Main St, Austin, TX 73301",Monitores
AA Batteries (4-pack),2,3.84,2023-10-17,"110 Hill St, San Francisco, CA 94016",Pilas
AA Batteries (4-pack),1,3.84,2023-10-25,"39 West St, San Francisco, CA 94016",Pilas
Apple Airpods Headphones,1,150.0,2023-10-24,"29 Washington St, San Francisco, CA 94016",Auriculares
Vareebadd Phone,1,400.0,2023-10-26,"680 South St, Dallas, TX 75001",Teléfonos
