Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Bose SoundSport Headphones,1,99.99,2023-11-25,"522 Hill St, Boston, MA 02215",Auriculares
USB-C Charging Cable,1,11.95,2023-11-30,"154 2nd St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2023-11-27,"724 5th St, San Francisco, CA 94016",Cargadores
USB-C Charging Cable,1,11.95,2023-11-19,"454 Cherry St, Boston, MA 02215",Cargadores
Wired Headphones,1,11.99,2023-11-22,"99 Elm St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150.0,2023-11-22,"99 Elm St, San Francisco, CA 94016",Auriculares
Macbook Pro Laptop,1,1700.0,2023-11-25,"131 6th St, Boston, MA 02215",Portátiles
Lightning Charging Cable,1,14.95,2023-11-24,"925 5th St, New York City, NY 10001",Cargadores
USB-C Charging Cable,1,11.95,2023-11-21,"503 Chestnut St, Boston, MA 02215",Cargadores
iPhone,1,700.0,2023-11-20,"880 Maple St, New York City, NY 10001",Teléfonos
Apple Airpods Headphones,1,150.0,2023-11-20,"880 Maple St, New York City, NY 10001",Auriculares
27in FHD Monitor,1,149.99,2023-11-24,"677 Johnson St, Portland, OR 97035",Monitores
Bose SoundSport Headphones,1,99.99,2023-11-18,"928 Wilson St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150.0,2023-11-17,"305 Highland St, San Francisco, CA 94016",Auriculares
34in Ultrawide Monitor,1,379.99,2023-11-28,"470 13th St, San Francisco, CA 94016",Monitores
USB-C Charging Cable,1,11.95,2023-11-20,"651 Hill St, Boston, MA 02215",Cargadores
Bose SoundSport Headphones,1,99.99,2023-11-27,"607 8th St, Los Angeles, CA 90001",Auriculares
Vareebadd Phone,1,400.0,2023-11-26,"783 12th St, San Francisco, CA 94016",Teléfonos
iPhone,1,700.0,2023-11-20,"700 Pine St, San Francisco, CA 94016",Teléfonos
Lightning Charging Cable,2,14.95,2023-11-20,"700 Pine St, San Francisco, CA 94016",Cargadores
Wired Headphones,1,11.99,2023-11-23,"792 9th St, Los Angeles, CA 90001",Auriculares
AAA Batteries (4-pack),1,2.99,2023-11-29,"302 Highland St, San Francisco, CA 94016",Pilas
AA Batteries (4-pack),1,3.84,2023-11-26,"349 9th St, San Francisco, CA 94016",Pilas
Flatscreen TV,1,300.0,2023-11-28,"835 Main St, San Francisco, CA 94016",Televisores
AA Batteries (4-pack),1,3.84,2023-11-22,"487 Lincoln St, New York City, NY 10001",Pilas
USB-C Charging Cable,1,11.95,2023-11-23,"435 Hill St, Portland, ME 04101",Cargadores
Lightning Charging Cable,1,14.95,2023-11-25,"497 6th St, Boston, MA 02215",Cargadores
34in Ultrawide Monitor,1,379.99,2023-11-28,"903 Madison St, Boston, MA 02215",Monitores
Apple Airpods Headphones,1,150.0,2023-11-24,"687 Maple St, Los Angeles, CA 90001",Auriculares
AAA Batteries (4-pack),1,2.99,2023-11-28,"998 Hill St, Seattle, WA 98101",Pilas
27in 4K Gaming Monitor,1,389.99,2023-11-20,"952 Dogwood St, Portland, OR 97035",Monitores
Apple Airpods Headphones,1,150.0,2023-11-26,"788 North St, New York City, NY 10001",Auriculares
Wired Headphones,1,11.99,2023-11-20,"351 Spruce St, Portland, ME 04101",Auriculares
Apple Airpods Headphones,1,150,2023-11-25,"67 Meadow St, San Francisco, CA 94016",Auriculares
27in 4K Gaming Monitor,1,389.99,2023-11-30,"518 Center St, New York City, NY 10001",Monitores
USB-C Charging Cable,1,11.95,2023-11-28,"755 2nd St, San Francisco, CA 94016",Cargadores
Apple Airpods Headphones,1,150,2023-11-29,"249 Madison St, Atlanta, GA 30301",Auriculares
Wired Headphones,1,11.99,2023-11-28,"614 Maple St, New York City, NY 10001",Auriculares
iPhone,1,700,2023-11-18,"916 North St, Portland, OR 97035",Teléfonos
Lightning Charging Cable,1,14.95,2023-11-29,"828 Spruce St, Austin, TX 73301",Cargadores
AAA Batteries (4-pack),1,2.99,2023-11-23,"515 1st St, New York City, NY 10001",Pilas
Flatscreen TV,1,300,2023-11-25,"288 Washington St, Portland, OR 97035",Televisores
34in Ultrawide Monitor,1,379.99,2023-11-28,"129 Ridge St, Austin, TX 73301",Monitores
Flatscreen TV,1,300,2023-11-20,"116 5th St, San Francisco, CA 94016",Televisores
USB-C Charging Cable,1,11.95,2023-11-24,"214 North St, Dallas, TX 75001",Cargadores
AAA Batteries (4-pack),2,2.99,2023-11-29,"906 North St, New York City, NY 10001",Pilas
34in Ultrawide Monitor,1,379.99,2023-11-18,"938 6th St, Los Angeles, CA 90001",Monitores
AA Batteries (4-pack),1,3.84,2023-11-26,"328 1st St, Portland, OR 97035",Pilas
Bose SoundSport Headphones,1,99.99,2023-11-29,"948 North St, Boston, MA 02215",Auriculares
Google Phone,1,600,2023-11-21,"478 Dogwood St, San Francisco, CA 94016",Teléfonos
AAA Batteries (4-pack),1,2.99,2023-11-19,"396 Cedar St, Atlanta, GA 30301",Pilas
