Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Lightning Charging Cable,1,14.95,2020-01-01,"427 Wilson St, Dallas, TX 75001",Cargadores
iPhone,1,700,2020-01-01,"519 13th St, New York City, NY 10001",Teléfonos
Lightning Charging Cable,2,14.95,2020-01-01,"519 13th St, New York City, NY 10001",Cargadores
Google Phone,1,600,2020-01-01,"542 2nd St, San Francisco, CA 94016",Teléfonos
Wired Headphones,4,11.99,2020-01-01,"731 7th St, New York City, NY 10001",Auriculares
Apple Airpods Headphones,1,150,2020-01-01,"762 Johnson St, San Francisco, CA 94016",Auriculares
USB-C Charging Cable,1,11.95,2020-01-01,"754 Hickory St, New York City, NY 10001",Cargadores
USB-C Charging Cable,1,11.95,2020-01-01,"581 River St, San Francisco, CA 94016",Cargadores
Bose SoundSport Headphones,1,99.99,2020-01-01,"657 Spruce St, New York City, NY 10001",Auriculares
Lightning Charging Cable,1,14.95,2020-01-01,"657 Spruce St, New York City, NY 10001",Cargadores
20in Monitor,1,109.99,2020-01-01,"193 5th St, Austin, TX 73301",Monitores
Lightning Charging Cable,1,14.95,2020-01-01,"108 Jefferson St, Boston, MA 02215",Cargadores
AAA Batteries (4-pack),1,2.99,2020-01-01,"825 Adams St, Portland, OR 97035",Pilas
Apple Airpods Headphones,1,150,2020-01-01,"693 1st St, Portland, OR 97035",Auriculares
Bose SoundSport Headphones,1,99.99,2020-01-01,"784 River St, San Francisco, CA 94016",Auriculares
ThinkPad Laptop,1,999.99,2020-01-01,"431 Hickory St, Los Angeles, CA 90001",Portátiles
Macbook Pro Laptop,1,1700,2020-01-01,"326 14th St, Dallas, TX 75001",Portátiles
ThinkPad Laptop,1,999.99,2020-01-01,"762 Elm St, Boston, MA 02215",Portátiles
Lightning Charging Cable,1,14.95,2020-01-01,"39 Pine St, New York City, NY 10001",Cargadores
27in FHD Monitor,1,149.99,2020-01-01,"202 Maple St, San Francisco, CA 94016",Monitores
Bose SoundSport Headphones,1,99.99,2020-01-01,"362 Willow St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2020-01-01,"636 Lakeview St, San Francisco, CA 94016",Auriculares
iPhone,1,700,2020-01-01,"730 Pine St, San Francisco, CA 94016",Teléfonos
