Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
iPhone,1,700,2023-03-06,"866 Spruce St, Portland, ME 04101",Teléfonos
AA Batteries (4-pack),1,3.84,2023-03-01,"18 13th St, San Francisco, CA 94016",Pilas
27in 4K Gaming Monitor,1,389.99,2023-03-06,"52 6th St, New York City, NY 10001",Monitores
AA Batteries (4-pack),2,3.84,2023-03-16,"548 Lincoln St, Seattle, WA 98101",Pilas
Lightning Charging Cable,1,14.95,2023-03-12,"387 12th St, Austin, TX 73301",Cargadores
AA Batteries (4-pack),1,3.84,2023-03-09,"622 Center St, San Francisco, CA 94016",Pilas
Apple Airpods Headphones,1,150,2023-03-14,"921 6th St, Seattle, WA 98101",Auriculares
USB-C Charging Cable,1,11.95,2023-03-05,"451 2nd St, Los Angeles, CA 90001",Cargadores
USB-C Charging Cable,1,11.95,2023-03-10,"689 River St, San Francisco, CA 94016",Cargadores
Bose SoundSport Headphones,1,99.99,2023-03-05,"198 Center St, Los Angeles, CA 90001",Auriculares
Bose SoundSport Headphones,1,99.99,2023-03-13,"777 Spruce St, Los Angeles, CA 90001",Auriculares
Apple Airpods Headphones,1,150,2023-03-06,"101 13th St, New York City, NY 10001",Auriculares
Lightning Charging Cable,1,14.95,2023-03-08,"303 Sunset St, Atlanta, GA 30301",Cargadores
Macbook Pro Laptop,1,1700,2023-03-14,"847 10th St, San Francisco, CA 94016",Portátiles
iPhone,1,700,2023-03-14,"847 10th St, San Francisco, CA 94016",Teléfonos
Wired Headphones,1,11.99,2023-03-11,"111 Hill St, Dallas, TX 75001",Auriculares
AA Batteries (4-pack),2,3.84,2023-03-15,"512 Church St, Dallas, TX 75001",Pilas
Flatscreen TV,1,300,2023-03-15,"588 1st St, Los Angeles, CA 90001",Televisores
LG Dryer,1,600.0,2023-03-15,"452 8th St, San Francisco, CA 94016",Electrodomésticos
Wired Headphones,1,11.99,2023-03-16,"311 8th St, Austin, TX 73301",Auriculares
20in Monitor,1,109.99,2023-03-13,"874 Jefferson St, San Francisco, CA 94016",Monitores
AAA Batteries (4-pack),1,2.99,2023-03-03,"85 Park St, Boston, MA 02215",Pilas
AAA Batteries (4-pack),2,2.99,2023-03-14,"426 Lake St, Los Angeles, CA 90001",Pilas
USB-C Charging Cable,1,11.95,2023-03-16,"457 Maple St, Los Angeles, CA 90001",Cargadores
AAA Batteries (4-pack),1,2.99,2023-03-17,"270 Dogwood St, San Francisco, CA 94016",Pilas
AAA Batteries (4-pack),1,2.99,2023-03-09,"961 2nd St, San Francisco, CA 94016",Pilas
Wired Headphones,1,11.99,2023-03-01,"134 8th St, Los Angeles, CA 90001",Auriculares
Wired Headphones,1,11.99,2023-03-11,"437 12th St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2023-03-10,"553 12th St, Atlanta, GA 30301",Auriculares
AA Batteries (4-pack),2,3.84,2023-03-06,"103 14th St, San Francisco, CA 94016",Pilas
Apple Airpods Headphones,1,150,2023-03-06,"218 Ridge St, Atlanta, GA 30301",Auriculares
AAA Batteries (4-pack),1,2.99,2023-03-17,"683 Adams St, Portland, OR 97035",Pilas
