Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
Wired Headphones,1,11.99,2020-11-25,"46 Park St, New York City, NY 10001",Auriculares
USB-C Charging Cable,2,11.95,2020-11-21,"962 Hickory St, Austin, TX 73301",Cargadores
Apple Airpods Headphones,1,150.0,2020-11-23,"464 Cherry St, Los Angeles, CA 90001",Auriculares
27in FHD Monitor,1,149.99,2020-11-29,"649 10th St, Seattle, WA 98101",Monitores
Bose SoundSport Headphones,1,99.99,2020-11-13,"522 Hill St, Boston, MA 02215",Auriculares
USB-C Charging Cable,1,11.95,2020-11-18,"154 2nd St, San Francisco, CA 94016",Cargadores
Lightning Charging Cable,1,14.95,2020-11-15,"724 5th St, San Francisco, CA 94016",Cargadores
Bose SoundSport Headphones,1,99.99,2020-11-19,"866 Sunset St, Austin, TX 73301",Auriculares
Bose SoundSport Headphones,1,99.99,2020-11-23,"174 2nd St, Boston, MA 02215",Auriculares
ThinkPad Laptop,1,999.99,2020-11-23,"174 2nd St, Boston, MA 02215",Portátiles
ThinkPad Laptop,1,999.99,2020-11-29,"240 Elm St, Austin, TX 73301",Portátiles
AAA Batteries (4-pack),1,2.99,2020-11-27,"155 Highland St, Boston, MA 02215",Pilas
AA Batteries (4-pack),1,3.84,2020-11-21,"969 13th St, Dallas, TX 75001",Pilas
USB-C Charging Cable,1,11.95,2020-11-07,"454 Cherry St, Boston, MA 02215",Cargadores
Wired Headphones,1,11.99,2020-11-10,"99 Elm St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150.0,2020-11-10,"99 Elm St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150.0,2020-11-21,"601 Church St, Seattle, WA 98101",Auriculares
Macbook Pro Laptop,1,1700.0,2020-11-13,"131 6th St, Boston, MA 02215",Portátiles
AA Batteries (4-pack),3,3.84,2020-11-20,"419 Hill St, Boston, MA 02215",Pilas
Lightning Charging Cable,1,14.95,2020-11-22,"815 Dogwood St, New York City, NY 10001",Cargadores
Lightning Charging Cable,1,14.95,2020-11-12,"925 5th St, New York City, NY 10001",Cargadores
USB-C Charging Cable,1,11.95,2020-11-09,"503 Chestnut St, Boston, MA 02215",Cargadores
USB-C Charging Cable,1,11.95,2020-11-20,"541 Johnson St, New York City, NY 10001",Cargadores
iPhone,1,700.0,2020-11-08,"880 Maple St, New York City, NY 10001",Teléfonos
Apple Airpods Headphones,1,150.0,2020-11-08,"880 Maple St, New York City, NY 10001",Auriculares
USB-C Charging Cable,2,11.95,2020-11-21,"882 Walnut St, Portland, OR 97035",Cargadores
USB-C Charging Cable,1,11.95,2020-11-29,"327 13th St, Dallas, TX 75001",Cargadores
Bose SoundSport Headphones,1,99.99,2020-11-24,"816 Park St, Atlanta, GA 30301",Auriculares
27in FHD Monitor,1,149.99,2020-11-12,"677 Johnson St, Portland, OR 97035",Monitores
Bose SoundSport Headphones,1,99.99,2020-11-06,"928 Wilson St, San Francisco, CA 94016",Auriculares
20in Monitor,1,109.99,2020-11-30,"532 Cedar St, Austin, TX 73301",Monitores
Apple Airpods Headphones,1,150.0,2020-11-05,"305 Highland St, San Francisco, CA 94016",Auriculares
34in Ultrawide Monitor,1,379.99,2020-11-16,"470 13th St, San Francisco, CA 94016",Monitores
iPhone,1,700.0,2020-11-24,"977 Johnson St, Los Angeles, CA 90001",Teléfonos
USB-C Charging Cable,1,11.95,2020-11-08,"651 Hill St, Boston, MA 02215",Cargadores
Bose SoundSport Headphones,1,99.99,2020-11-15,"607 8th St, Los Angeles, CA 90001",Auriculares
Vareebadd Phone,1,400.0,2020-11-14,"783 12th St, San Francisco, CA 94016",Teléfonos
iPhone,1,700.0,2020-11-08,"700 Pine St, San Francisco, CA 94016",Teléfonos
Lightning Charging Cable,2,14.95,2020-11-08,"700 Pine St, San Francisco, CA 94016",Cargadores
Wired Headphones,1,11.99,2020-11-11,"792 9th St, Los Angeles, CA 90001",Auriculares
AAA Batteries (4-pack),1,2.99,2020-11-17,"302 Highland St, San Francisco, CA 94016",Pilas
Wired Headphones,1,11.99,2020-11-30,"989 12th St, New York City, NY 10001",Auriculares
AA Batteries (4-pack),1,3.84,2020-11-14,"349 9th St, San Francisco, CA 94016",Pilas
Flatscreen TV,1,300.0,2020-11-16,"835 Main St, San Francisco, CA 94016",Televisores
Lightning Charging Cable,1,14.95,2020-11-27,"614 Church St, San Francisco, CA 94016",Cargadores
Bose SoundSport Headphones,1,99.99,2020-11-27,"490 Walnut St, Los Angeles, CA 90001",Auriculares
27in FHD Monitor,1,149.99,2020-11-27,"490 Walnut St, Los Angeles, CA 90001",Monitores
AA Batteries (4-pack),1,3.84,2020-11-10,"487 Lincoln St, New York City, NY 10001",Pilas
USB-C Charging Cable,1,11.95,2020-11-11,"435 Hill St, Portland, ME 04101",Cargadores
20in Monitor,1,109.99,2020-11-28,"944 Madison St, Los Angeles, CA 90001",Monitores
Lightning Charging Cable,1,14.95,2020-11-13,"497 6th St, Boston, MA 02215",Cargadores
Lightning Charging Cable,1,14.95,2020-11-29,"84 1st St, Los Angeles, CA 90001",Cargadores
