Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
AAA Batteries (4-pack),2,2.99,2020-10-28,"967 12th St, New York City, NY 10001",Pilas
27in FHD Monitor,1,149.99,2020-10-18,"628 Jefferson St, New York City, NY 10001",Monitores
Wired Headphones,1,11.99,2020-10-11,"534 14th St, Los Angeles, CA 90001",Auriculares
AAA Batteries (4-pack),1,2.99,2020-10-05,"976 Lake St, New York City, NY 10001",Pilas
Apple Airpods Headphones,1,150.0,2020-10-24,"955 9th St, Los Angeles, CA 90001",Auriculares
Apple Airpods Headphones,1,150.0,2020-10-20,"742 14th St, San Francisco, CA 94016",Auriculares
27in FHD Monitor,1,149.99,2020-10-17,"960 Ridge St, Boston, MA 02215",Monitores
USB-C Charging Cable,1,11.95,2020-10-30,"538 Johnson St, Portland, OR 97035",Cargadores
iPhone,1,700.0,2020-10-30,"306 Main St, Los Angeles, CA 90001",Teléfonos
Wired Headphones,1,11.99,2020-10-21,"434 Madison St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150.0,2020-10-21,"784 6th St, Los Angeles, CA 90001",Auriculares
USB-C Charging Cable,1,11.95,2020-10-14,"557 Forest St, San Francisco, CA 94016",Cargadores
27in FHD Monitor,1,149.99,2020-10-16,"218 14th St, San Francisco, CA 94016",Monitores
Bose SoundSport Headphones,1,99.99,2020-10-27,"88 Main St, Boston, MA 02215",Auriculares
Lightning Charging Cable,1,14.95,2020-10-22,"997 1st St, Boston, MA 02215",Cargadores
27in 4K Gaming Monitor,1,389.99,2020-10-13,"148 Lincoln St, San Francisco, CA 94016",Monitores
Apple Airpods Headphones,1,150.0,2020-10-23,"424 North St, San Francisco, CA 94016",Auriculares
ThinkPad Laptop,1,999.99,2020-10-29,"887 12th St, New York City, NY 10001",Portátiles
Wired Headphones,1,11.99,2020-10-22,"605 Ridge St, New York City, NY 10001",Auriculares
Apple Airpods Headphones,1,150.0,2020-10-17,"597 6th St, Los Angeles, CA 90001",Auriculares
Lightning Charging Cable,1,14.95,2020-10-20,"966 Hickory St, Los Angeles, CA 90001",Cargadores
