Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
USB-C Charging Cable,1,11.95,2023-12-28,"277 Main St, New York City, NY 10001",Cargadores
USB-C Charging Cable,2,11.95,2023-12-29,"813 Hickory St, Dallas, TX 75001",Cargadores
Bose SoundSport Headphones,1,99.99,2023-12-31,"718 Wilson St, Dallas, TX 75001",Auriculares
USB-C Charging Cable,2,11.95,2023-12-29,"594 1st St, San Francisco, CA 94016",Cargadores
AAA Batteries (4-pack),2,2.99,2023-12-22,"187 Lincoln St, Dallas, TX 75001",Pilas
Lightning Charging Cable,1,14.95,2023-12-17,"338 Main St, Austin, TX 73301",Cargadores
AAA Batteries (4-pack),4,2.99,2023-12-20,"936 Church St, San Francisco, CA 94016",Pilas
Wired Headphones,1,11.99,2023-12-27,"662 Ridge St, San Francisco, CA 94016",Auriculares
Apple Airpods Headphones,1,150,2023-12-26,"531 Ridge St, Boston, MA 02215",Auriculares
Apple Airpods Headphones,1,150,2023-12-24,"546 Park St, Los Angeles, CA 90001",Auriculares
Apple Airpods Headphones,1,150,2023-12-20,"174 Cedar St, Seattle, WA 98101",Auriculares
AA Batteries (4-pack),2,3.84,2023-12-30,"640 Cherry St, Los Angeles, CA 90001",Pilas
Lightning Charging Cable,1,14.95,2023-12-30,"903 Lincoln St, Boston, MA 02215",Cargadores
ThinkPad Laptop,1,999.99,2023-12-31,"742 River St, San Francisco, CA 94016",Portátiles
Vareebadd Phone,1,400,2023-12-29,"175 1st St, New York City, NY 10001",Teléfonos
USB-C Charging Cable,2,11.95,2023-12-29,"175 1st St, New York City, NY 10001",Cargadores
Wired Headphones,1,11.99,2023-12-28,"457 8th St, New York City, NY 10001",Auriculares
AAA Batteries (4-pack),3,2.99,2023-12-28,"599 Hill St, Los Angeles, CA 90001",Pilas
Lightning Charging Cable,1,14.95,2023-12-23,"547 Ridge St, San Francisco, CA 94016",Cargadores
27in FHD Monitor,1,149.99,2023-12-29,"846 9th St, Boston, MA 02215",Monitores
AAA Batteries (4-pack),2,2.99,2023-12-20,"489 Johnson St, San Francisco, CA 94016",Pilas
Macbook Pro Laptop,1,1700,2023-12-26,"331 Madison St, New York City, NY 10001",Portátiles
20in Monitor,1,109.99,2023-12-19,"593 9th St, Los Angeles, CA 90001",Monitores
34in Ultrawide Monitor,1,379.99,2023-12-24,"915 1st St, Seattle, WA 98101",Monitores
Wired Headphones,1,11.99,2023-12-24,"380 Lake St, San Francisco, CA 94016",Auriculares
AA Batteries (4-pack),1,3.84,2023-12-23,"530 Walnut St, Los Angeles, CA 90001",Pilas
AA Batteries (4-pack),2,3.84,2023-12-19,"570 Walnut St, Dallas, TX 75001",Pilas
AAA Batteries (4-pack),3,2.99,2023-12-21,"911 River St, San Francisco, CA 94016",Pilas
Bose SoundSport Headphones,1,99.99,2023-12-30,"5 Dogwood St, San Francisco, CA 94016",Auriculares
34in Ultrawide Monitor,1,379.99,2023-12-30,"574 West St, San Francisco, CA 94016",Monitores
USB-C Charging Cable,1,11.95,2023-12-30,"949 Wilson St, Los Angeles, CA 90001",Cargadores
USB-C Charging Cable,1,11.95,2023-12-17,"102 Cedar St, New York City, NY 10001",Cargadores
Apple Airpods Headphones,1,150,2023-12-18,"829 Johnson St, Boston, MA 02215",Auriculares
Apple Airpods Headphones,1,150,2023-12-25,"368 Sunset St, New York City, NY 10001",Auriculares
USB-C Charging Cable,1,11.95,2023-12-19,"346 South St, New York City, NY 10001",Cargadores
AA Batteries (4-pack),3,3.84,2023-12-26,"11 8th St, San Francisco, CA 94016",Pilas
Wired Headphones,1,11.99,2023-12-23,"45 Church St, Boston, MA 02215",Auriculares
Wired Headphones,2,11.99,2023-12-20,"983 Highland St, Los Angeles, CA 90001",Auriculares
Google Phone,1,600,2023-12-27,"341 Forest St, Dallas, TX 75001",Teléfonos
